"id_gsn";"monastery_name";"Lon";"Lat";"Standort";"diocese";"order_name";"order_begin_tpq";"order_end_tpq";"alt_label_diocese";"RG_Abkuerzung";"id_order"
3859;"Zisterzienserinnenkloster Tiefenthal";"8.119444";"50.061111";"Tiefenthal";"Mainz";"Zisterzienserinnen";1238;1803;"eccl. Magunt.";"o. Cist.";28
3899;"Franziskanerkloster Bautzen";"14.421905";"51.182154";"Bautzen";"Meißen";"Franziskaner (Minoriten/Konventualen/Observanten/Rekollekten)";1235;1562;"eccl. Misnen.";"o. fr. min.";7
3911;"Kartause Marienburg, Weddern (bei Dülmen)";"7.315055";"51.875260";"Weddern";"Münster";"Kartäuser";1476;1803;"eccl. Monast.";"o. Cartus.";4
3912;"Augustinerchorherrenpropstei Dirmstein, später Jesuitenresidenz";"8.24601";"49.56468";"Dirmstein";"Worms";"Augustinerchorherren";1418;1599;"eccl. Wormat.";"o. s. Aug.";1
3913;"Kommende St. Maria Einsiedel, Kaiserslautern";"7.661574";"49.429482";"Kaiserslautern";"Worms";"Deutscher Orden";1253;1686;"eccl. Wormat.";"theutonicorum";22
3915;"Augustinerchorfrauenstift Allerheiligen, Frankenthal, dann Augustinerchorherrenstift Kirschgarten";"8.357849";"49.532604";"Frankenthal";"Worms";"Augustinerchorfrauen";1114;1437;"eccl. Wormat.";"o. s. Aug.";25
3921;"Reuerinnenkloster Kanskirchen (Albersweiler, St. Johann)";"8.039718";"49.224563";"Kanskirchen";"Speyer";"Magdalenerinnen (Reuerinnen)";1263;1529;"eccl. Spiren.";;38
3922;"Kloster der Hospitalbrüder von der Steige St. Maria (Steigerherren), Landau, später Kollegiatstift";"8.112282";"49.196339";"Landau";"Speyer";"Augustinerchorherren";1276;1483;"eccl. Spiren.";"o. s. Aug.";1
3922;"Kloster der Hospitalbrüder von der Steige St. Maria (Steigerherren), Landau, später Kollegiatstift";"8.112282";"49.196339";"Landau";"Speyer";"Kanoniker";1483;1793;"eccl. Spiren.";"eccl.";34
3923;"Augustinereremitenkloster St. Maria Himmelfahrt, Landau";"8.115554";"49.198651";"Landau";"Speyer";"Augustinereremiten";1295;1790;"eccl. Spiren.";"o. fr. herem. s. Aug.";36
3927;"Benediktinerpropstei St. Martin, Grünstadt";"8.166145";"49.562975";"Grünstadt";"Worms";"Benediktiner";1240;1392;"eccl. Wormat.";"o. s. Ben.";16
3928;"Prämonstratenserpropstei St. Martin ""Auf dem Berg"", Kleinbockenheim";"8.182712";"49.611628";"Bockenheim an der Weinstraße";"Worms";"Prämonstratenser";1196;1582;"eccl. Wormat.";"o. Prem.";14
3930;"Benediktinerkloster St. Jakob, Erfurt";"11.032778";"50.979722";"Erfurt";"Mainz";"Benediktiner";1131;1820;"eccl. Magunt.";"o. s. Ben.";16
3931;"Benediktinerkloster St. Georg, Naumburg";"11.802238";"51.155935";"Naumburg";"Naumburg";"Benediktiner";970;1518;"eccl. Nuemburg.";"o. s. Ben.";16
3933;"Benediktinerinnenkloster Veilsdorf (später Benediktinerkloster)";"10.818068";"50.417116";"Veilsdorf";"Würzburg";"Benediktiner";1446;1532;"eccl. Herbip.";"o. s. Ben.";16
3933;"Benediktinerinnenkloster Veilsdorf (später Benediktinerkloster)";"10.818068";"50.417116";"Veilsdorf";"Würzburg";"Benediktinerinnen";1153;1446;"eccl. Herbip.";"o. s. Ben.";33
3934;"Benediktinerinnenkloster St. Theodor, Bamberg";"10.881111";"49.888333";"Bamberg";"Bamberg";"Benediktinerinnen";1157;1554;"eccl. Bamberg.";"o. s. Ben.";33
3937;"Benediktinerkloster Dionysiuszelle Brachau, Bad Kissingen";"10.089119";"50.242822";"Kleinbrach";"Würzburg";"Benediktiner";730;1503;"eccl. Herbip.";"o. s. Ben.";16
