id_gsn;monastery_name;Lon;Lat;Standort;diocese;order_name;order_begin_tpq;order_end_tpq;alt_label_diocese;RG_Abkuerzung;id_order
92305;Zisterzienserinnenkloster St. Maria Heidesheim, Obrigheim (Pfalz);8.197195;49.584057;Obrigheim;Worms;Zisterzienserinnen;1277;1380;eccl. Wormat.;o. Cist.;28
92311;Zisterzienserinnenkloster Herchen;7.512306264849601;50.77998051593877;Herchen;Köln;Zisterzienserinnen;1247;1581;eccl. Colon.;o. Cist.;28
92322;Zisterzienserinnenkloster Rathausen, Schweiz;8.311995435244297;47.08020006135057;Rathausen;Konstanz;Zisterzienserinnen;1260;1848;eccl. Constant.;o. Cist.;28
92350;Zisterzienserinnenkloster Selnau, Schweiz;8.532797162682044;47.37048740025601;Selnau;Konstanz;Zisterzienserinnen;1265;1525;eccl. Constant.;o. Cist.;28
92355;Zisterzienserinnenkloster Sitzenroda bei Torgau;12.97042778900127;51.44488596061574;Sitzenroda;Meißen;Zisterzienserinnen;1270;1538;eccl. Misnen.;o. Cist.;28
92376;Zisterzienserinnenkloster Sankt Thomas an der Kyll;6.599915595946996;50.06891877359119;Sankt Thomas;Trier;Zisterzienserinnen;1170;1802;eccl. Trever.;o. Cist.;28
92420;Zisterzienserinnenkloster Zissendorf;7.263342464842538;50.78535475999993;Zissendorf;Köln;Zisterzienserinnen;1247;1803;eccl. Colon.;o. Cist.;28
92423;Zisterzienserkloster Altzella;13.30105949094309;51.0584825016911;Altzelle;Meißen;Zisterzienser;1162;1540;eccl. Misnen.;o. Cist.;5
92426;Zisterzienserkloster Baumgarten, Frankreich;7.4043989944339295;48.36364212488083;Baumgarten;Straßburg;Zisterzienser;1125;1525;eccl. Argent.;o. Cist.;5
92428;Zisterzienserkloster Belgern;13.12909975623391;51.48299607004924;Belgern;Meißen;Zisterzienser;1258;1541;eccl. Misnen.;o. Cist.;5
92432;Zisterzienserkloster Buch (bei Leisnig);12.98704378201782;51.15213989339803;Buch;Meißen;Zisterzienser;1192;1526;eccl. Misnen.;o. Cist.;5
92440;Zisterzienserkloster Dünamünde, Lettland;24.03937737000098;57.0457672677719;Dünamünde;Riga;Zisterzienser;1208;1305;eccl. Rigen.;o. Cist.;5
92445;Zisterzienserkloster Eldena (Hilda);13.45256115702074;54.08930879603857;Eldena;Kammin;Zisterzienser;1199;1535;eccl. Camin.;o. Cist.;5
92446;Zisterzienserkloster Falkenau, Estland;26.66278445584661;58.46093716279999;Kärkna (Falkenau);Dorpat;Zisterzienser;1233;1558;eccl. Tarbat.;o. Cist.;5
92452;Zisterzienserkloster Gerka, Niederlande;6.208047825782714;53.23974418411113;Gerka;Münster;Zisterzienser;1240;1580;eccl. Monast.;o. Cist.;5
92453;Zisterzienserkloster Goldenkron (Zlatá Koruna), Tschechien;14.369444;48.854722;Goldenkron;Prag;Zisterzienser;1263;1785;eccl. Prag.;o. Cist.;5
92468;Zisterzienserkloster Himmelstädt (Mironice), Polen;15.183333;52.8;Himmelstädt;Kammin;Zisterzienser;1376;1539;eccl. Camin.;o. Cist.;5
92469;Zisterzienser-, später Zisterzienserinnenkloster Hocht, Belgien;5.685556;50.898056;Hocht;Lüttich;Zisterzienserinnen;1217;1796;eccl. Leod.;o. Cist.;28
92474;Zisterzienserkloster Kamenz (Kamieniec Ząbkowicki), Polen;16.88149883563437;50.51933474542901;Kamieniec Ząbkowicki;Breslau;Zisterzienser;1246;1810;eccl. Wratislav.;o. Cist.;5
92475;Zisterzienserkloster Kamp, auch Altenkamp genannt;6.515753337818126;51.50253691230544;Kamp;Köln;Zisterzienser;1123;1802;eccl. Colon.;o. Cist.;5
92476;Zisterzienserkloster Kappel, Schweiz;8.524582947746069;47.22711273586045;Kappel am Albis;Konstanz;Zisterzienser;1185;1527;eccl. Constant.;o. Cist.;5
92477;Zisterzienserkloster Klaarkamp (bei Rinsumageest), Niederlande;5.92654565074264;53.3075210508649;Klaarkamp;Utrecht;Zisterzienser;1155;1580;eccl. Traiect.;o. Cist.;5
92481;Zisterzienserkloster Lond (Ląd), Polen;17.89220240623132;52.20555062785782;Lond (Ląd);Posen;Zisterzienser;1175;1819;eccl. Poznan.;o. Cist.;5
92486;Zisterzienserkloster Leubus (Lubiąż), Polen;16.46907206627218;51.26169905557548;Leubus;Breslau;Zisterzienser;1163;1810;eccl. Wratislav.;o. Cist.;5
92498;Zisterzienserkloster Obra, Polen;16.04182645715909;52.07167210553156;Obra;Posen;Zisterzienser;1231;1835;eccl. Poznan.;o. Cist.;5
92500;Zisterzienserkloster Padise, Estland;24.14197976879645;59.22749572934109;Padise;Reval;Zisterzienser;1317;1559;eccl. Reval.;o. Cist.;5
92503;Zisterzienserkloster Priment (Przemęt), zuvor Fehlen (Wieleń), gegründet in Altkloster (Kaszczor), Polen;16.184703;51.949951;Fehlen;Posen;Zisterzienser;1277;1835;eccl. Poznan.;o. Cist.;5
92503;Zisterzienserkloster Priment (Przemęt), zuvor Fehlen (Wieleń), gegründet in Altkloster (Kaszczor), Polen;16.30370130510481;52.01500049371195;Priment;Posen;Zisterzienser;1277;1835;eccl. Poznan.;o. Cist.;5
92505;Zisterzienserkloster Rauden (Rudy), Polen;18.447778;50.194722;Rudy;Breslau;Zisterzienser;1250;1810;eccl. Wratislav.;o. Cist.;5
92512;Zisterzienserkloster Säusenstein, Österreich;15.11692922262994;48.19092226595666;Säusenstein;Passau;Zisterzienser;1336;1789;eccl. Patav.;o. Cist.;5
92514;Benediktinerkloster Ossiach, Österreich;13.9825;46.676944;Ossiach;Salzburg;Benediktiner;1019;1783;eccl. Salzeburg.;o. s. Ben.;16
92518;Benediktinerkloster Stolpe an der Peene, später Zisterzienserkloster;13.561442;53.873254;Stolpe;Kammin;Benediktiner;1140;1304;eccl. Camin.;o. s. Ben.;16
92518;Benediktinerkloster Stolpe an der Peene, später Zisterzienserkloster;13.561442;53.873254;Stolpe;Kammin;Zisterzienser;1304;1533;eccl. Camin.;o. Cist.;5
92519;Zisterzienserkloster Stürzelbronn, Frankreich;7.586227478622845;49.05759981795996;Sturzelbronn;Metz;Zisterzienser;1130;1791;eccl. Meten.;o. Cist.;5
92521;Zisterzienserkloster Termunten, Niederlande;7.033141576132351;53.28613935142968;Termunten;Münster;Zisterzienser;1259;1569;eccl. Monast.;o. Cist.;5
92522;Zisterzienserkloster Sankt Urban, Schweiz;7.839969824662404;47.23216370547422;Sankt Urban;Konstanz;Zisterzienser;1194;1848;eccl. Constant.;o. Cist.;5
92528;Zisterzienserkloster Wörschweiler;7.307498685016143;49.28420015515086;Wörschweiler;Metz;Zisterzienser;1171;1558;eccl. Meten.;o. Cist.;5
92556;Zisterzienserkloster Stift Stams, Österreich;10.98296642325582;47.27170823286808;Stams;Brixen;Zisterzienser;1273;1807;eccl. Brixin.;o. Cist.;5
92561;Zisterzienserinnenabtei St. Josef, Thyrnau;13.53588670302548;48.6144981305257;Thyrnau;Passau;Zisterzienserinnen;1251;1848;eccl. Patav.;o. Cist.;28
92580;Benediktinerkloster Mehrerau, Österreich;9.720760471323175;47.503952242093;Bregenz;Konstanz;Benediktiner;1080;1806;eccl. Constant.;o. s. Ben.;16
92588;Benediktinerpropstei Borna;12.4925;51.1223333333333;Borna;Merseburg;Benediktiner;1327;1522;eccl. Merseburg.;o. s. Ben.;16
92589;Zisterzienserkloster Buckow;16.33511;54.35389;Buckow;Kammin;Zisterzienser;1248;1535;eccl. Camin.;o. Cist.;5
92591;Zisterzienserkloster Kolbatz, Polen;14.813333;53.300556;Kolbatz;Kammin;Zisterzienser;1173;1535;eccl. Camin.;o. Cist.;5
92592;Benediktinerinnenkloster Kolberg (Kołobrzeg), Polen;15.574861;54.176222;Kolberg (Kołobrzeg);Kammin;Benediktinerinnen;1277;1540;eccl. Camin.;o. s. Ben.;33
92592;Benediktinerinnenkloster Kolberg (Kołobrzeg), Polen;15.583333;54.183333;Kolberg (Kołobrzeg);Kammin;Benediktinerinnen;1277;1540;eccl. Camin.;o. s. Ben.;33
92602;Benediktinerkloster St. Jakob, Stettin (Szczecin), Polen;14.555278;53.424722;Stettin;Kammin;Benediktiner;1176;1535;eccl. Camin.;o. s. Ben.;16
92605;Zisterzienserinnenkloster, Stettin (Szczecin), Polen;14.56353;53.42655;Stettin;Kammin;Zisterzienserinnen;1238;1539;eccl. Camin.;o. Cist.;28
92621;Benediktinerkloster Saint-Hubert, Belgien;5.374353;50.026172;Saint-Hubert;Lüttich;Benediktiner;817;1796;eccl. Leod.;o. s. Ben.;16
99097;Benediktinerkloster Haselendorf;11.399167;51.827778;Haselndorf;Halberstadt;Benediktiner;1186;1334;eccl. Halberstad.;o. s. Ben.;16
99997;Benediktinerinnenkloster Weerselo, Niederlande;6.843035;52.355718;Het Stift;Utrecht;Benediktinerinnen;1235;1500;eccl. Traiect.;o. s. Ben.;33
